CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
265;CASE000264;264;group1;interview;2025-02-21 16:02:56;19;2;4;;4;5;3;1;2;1;2;1;1;2;6;4;4;4;6;3;6;6;6;2;6;3;4;6;4;;2;1;1;1;2;1;2;2;1;2;1;1;1;2;2;2;1;1;1;2;1;2;1;1;1;2;1;2;;;9;8;11;10;6;12;4;7;15;1;3;5;13;14;2;card_9_nothing.jpg;card_8_heroic.jpg;card_11_heroic.jpg;card_10_cute.jpg;card_6_nothing.jpg;card_12_nothing.jpg;card_4_cute.png;card_7_cute.jpg;card_15_nothing.jpg;card_1_cute.png;card_3_nothing.jpg;card_5_heroic.jpg;card_13_cute.jpg;card_14_heroic.jpg;card_2_heroic.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;1042;147;918;33;32;23;28;30;25;32;18;32;30;28;66;50;27;8;10;5;3;7;712;;2025-02-21 16:46:11;;1;0;22;22;7;2;1,05
266;;;starting_point;interview;2025-02-21 16:12:37;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;;;;;;;;;;;;;;;;;;;;;9;;2025-02-21 16:12:46;;0;0;2;2;0;0;2,75
267;CASE000266;266;group2;interview;2025-02-21 16:12:46;4;2;5;;4;5;3;2;1;2;2;1;1;1;5;4;2;5;4;5;4;4;4;4;4;4;4;3;5;;1;1;1;1;1;1;2;3;2;2;1;1;1;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;;;14;1;12;8;13;5;15;4;10;11;3;9;7;2;6;card_14_nothing.jpg;card_1_heroic.png;card_12_cute.jpg;card_8_nothing.jpg;card_13_heroic.jpg;card_5_nothing.jpg;card_15_cute.jpg;card_4_heroic.jpg;card_10_heroic.jpg;card_11_nothing.jpg;card_3_cute.png;card_9_cute.jpg;card_7_heroic.jpg;card_2_nothing.jpg;card_6_cute.jpg;MC_card_1_heroic.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;21;178;110;46;86;65;30;30;25;12;20;77;157;16;25;29;21;10;6;6;5;17;867;;2025-02-21 16:29:18;;1;0;22;22;13;3;1,13
270;;;starting_point;interview;2025-02-21 16:52:53;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;5;;2025-02-21 16:52:58;;0;0;2;2;0;0;2,75
271;CASE000270;270;group3;interview;2025-02-21 16:52:58;20;1;5;;4;5;1;1;1;1;2;1;1;1;7;6;7;4;5;2;4;5;5;6;2;5;4;5;4;;2;2;1;1;2;1;1;3;1;2;1;2;1;2;2;1;2;1;1;1;2;2;2;1;2;1;1;1;;;14;7;5;2;11;9;10;13;1;6;12;3;15;4;8;card_14_cute.jpg;card_7_nothing.jpg;card_5_cute.jpg;card_2_cute.png;card_11_cute.jpg;card_9_heroic.jpg;card_10_nothing.jpg;card_13_nothing.jpg;card_1_nothing.jpg;card_6_heroic.jpg;card_12_heroic.jpg;card_3_heroic.png;card_15_heroic.jpg;card_4_nothing.jpg;card_8_cute.jpg;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;27;46;42;26;19;18;15;14;14;14;23;17;127;22;23;12;7;5;5;11;1;12;500;;2025-02-21 17:01:18;;1;0;22;22;16;4;1,80
272;;;starting_point;interview;2025-02-21 17:02:52;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;3;;;;;;;;;;;;;;;;;;;;;22;;2025-02-21 17:03:14;;0;0;2;2;0;0;1,40
273;CASE000272;272;group1;interview;2025-02-21 17:03:14;12;2;5;;4;5;1;1;1;1;2;1;1;1;7;5;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;7;10;1;14;2;12;15;5;8;11;6;9;13;card_4_cute.png;card_3_nothing.jpg;card_7_cute.jpg;card_10_cute.jpg;card_1_cute.png;card_14_heroic.jpg;;;;;;;;;;;;;;15;90;22;33;15;23;;;;;;;;;;;;;;;;;198;;2025-02-21 17:06:32;;0;0;6;6;16;4;1,71
275;;;starting_point;interview;2025-02-21 18:25:56;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;;;;;;;;;;;;;;;;;;;;;18;;2025-02-21 18:26:14;;0;0;2;2;0;0;1,55
276;CASE000275;275;group3;interview;2025-02-21 18:26:14;10;2;5;;4;5;4;1;1;2;2;2;1;2;4;3;2;1;4;4;5;4;3;4;6;4;5;1;3;;3;2;1;2;1;2;1;3;2;2;1;1;1;2;2;1;2;1;1;1;2;3;2;2;2;1;1;1;;;2;9;15;1;3;13;10;11;14;8;5;6;7;12;4;card_2_cute.png;card_9_heroic.jpg;card_15_heroic.jpg;card_1_nothing.jpg;card_3_heroic.png;card_13_nothing.jpg;card_10_nothing.jpg;card_11_cute.jpg;card_14_cute.jpg;card_8_cute.jpg;card_5_cute.jpg;card_6_heroic.jpg;card_7_nothing.jpg;card_12_heroic.jpg;card_4_nothing.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_2_cute.png;21;37;21;23;14;16;16;22;27;33;28;33;16;33;16;22;9;12;12;7;2;19;439;;2025-02-21 18:33:34;;1;0;22;22;19;5;1,64
281;;;starting_point;interview;2025-02-21 18:51:04;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;;;;;;;;;;;;;;;;;;;;;18;;2025-02-21 18:51:22;;0;0;2;2;0;0;1,33
283;CASE000281;281;group1;interview;2025-02-21 18:51:22;25;2;4;;4;5;3;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;If it's not worth the time for a human to make, it's not worth my time to read it. Ai is fucking trash and if it's used to make Magic Cards - I will stop buying Magic cards forever.;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;;;11;4;12;9;15;10;2;5;1;7;13;8;3;14;6;card_11_heroic.jpg;card_4_cute.png;card_12_nothing.jpg;card_9_nothing.jpg;card_15_nothing.jpg;card_10_cute.jpg;card_2_heroic.jpg;card_5_heroic.jpg;card_1_cute.png;card_7_cute.jpg;card_13_cute.jpg;card_8_heroic.jpg;card_3_nothing.jpg;card_14_heroic.jpg;card_6_nothing.jpg;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_1_heroic.png;22;69;14;11;10;11;10;10;10;13;11;10;12;10;10;11;11;3;4;4;27;6;299;;2025-02-21 18:56:21;;1;0;22;22;0;0;2,50
286;;;starting_point;interview;2025-02-21 18:57:21;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;;;;;;;;;;;;;;;;;;;;;12;;2025-02-21 18:57:33;;0;0;2;2;0;0;2,03
287;CASE000286;286;group2;interview;2025-02-21 18:57:33;9;2;5;;4;5;4;1;1;2;2;2;2;1;4;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;10;15;11;3;5;14;7;8;12;6;9;4;13;card_2_nothing.jpg;card_1_heroic.png;card_10_heroic.jpg;card_15_cute.jpg;;;;;;;;;;;;;;;;36;44;106;1007;;;;;;;;;;;;;;;;;;;232;;2025-02-21 19:17:26;;0;0;4;4;14;4;0,88
289;;;starting_point;interview;2025-02-21 18:58:43;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;10;;;;;;;;;;;;;;;;;;;;;16;;2025-02-21 18:58:59;;0;0;2;2;0;0;1,75
290;CASE000289;289;group2;interview;2025-02-21 18:58:59;26;2;4;;4;5;1;2;1;1;1;1;1;1;7;1;4;4;5;3;3;3;4;5;4;7;6;3;5;;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;;;5;7;15;11;4;12;9;1;6;14;2;13;8;10;3;card_5_nothing.jpg;card_7_heroic.jpg;card_15_cute.jpg;card_11_nothing.jpg;card_4_heroic.jpg;card_12_cute.jpg;card_9_cute.jpg;card_1_heroic.png;card_6_cute.jpg;card_14_nothing.jpg;card_2_nothing.jpg;card_13_heroic.jpg;card_8_nothing.jpg;card_10_heroic.jpg;card_3_cute.png;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;33;97;101;44;43;38;45;28;49;23;27;31;74;34;48;46;10;9;16;6;2;3;807;;2025-02-21 19:12:26;;1;0;22;22;19;5;1,12
291;;;starting_point;interview;2025-02-21 19:07:55;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;5;;;;;;;;;;;;;;;;;;;;;16;;2025-02-21 19:08:11;;0;0;2;2;0;0;1,48
292;CASE000291;291;group3;interview;2025-02-21 19:08:12;17;1;3;;4;5;2;2;1;2;1;1;1;1;4;4;4;4;3;3;3;4;4;4;4;3;4;2;4;AI slop looks terrible. If it's not worth a human's time to make, it's not worth a human's time to look at or play with.;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;;;5;4;11;15;7;10;13;6;14;12;2;3;9;1;8;card_5_cute.jpg;card_4_nothing.jpg;card_11_cute.jpg;card_15_heroic.jpg;card_7_nothing.jpg;card_10_nothing.jpg;card_13_nothing.jpg;card_6_heroic.jpg;card_14_cute.jpg;card_12_heroic.jpg;card_2_cute.png;card_3_heroic.png;card_9_heroic.jpg;card_1_nothing.jpg;card_8_cute.jpg;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_2_heroic.png;18;150;14;23;87;15;20;15;32;32;20;23;19;15;19;24;36;3;15;2;17;12;611;;2025-02-21 19:18:23;;1;0;22;22;0;0;1,58
294;;;starting_point;interview;2025-02-21 19:09:50;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;4;;;;;;;;;;;;;;;;;;;;;33;;2025-02-21 19:10:23;;0;0;2;2;0;0;1,00
295;CASE000294;294;group1;interview;2025-02-21 19:10:23;11;2;3;;4;5;3;2;1;2;2;1;1;1;5;4;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;7;14;11;4;6;8;13;12;5;1;10;15;9;card_2_heroic.jpg;card_3_nothing.jpg;card_7_cute.jpg;card_14_heroic.jpg;card_11_heroic.jpg;card_4_cute.png;;;;;;;;;;;;;;27;32;13;20;23;24;;;;;;;;;;;;;;;;;139;;2025-02-21 19:12:42;;0;0;6;6;16;4;2,01
296;;;starting_point;interview;2025-02-21 19:16:30;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;5;;;;;;;;;;;;;;;;;;;;;27;;2025-02-21 19:18:54;;0;0;2;2;0;0;0,58
298;CASE000296;296;group3;interview;2025-02-21 19:18:54;21;5;3;;4;5;1;2;1;1;1;1;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;8;2;7;4;10;13;1;15;5;3;12;11;14;9;card_6_heroic.jpg;card_8_cute.jpg;;;;;;;;;;;;;;;;;;21;29;;;;;;;;;;;;;;;;;;;;;50;;2025-02-21 19:19:44;;0;0;2;2;9;2;2,13
299;;;starting_point;interview;2025-02-21 19:22:20;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;5;;;;;;;;;;;;;;;;;;;;;25;;2025-02-21 19:22:45;;0;0;2;2;0;0;1,04
300;CASE000299;299;group2;interview;2025-02-21 19:22:45;16;1;2;;2;5;1;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;15;7;14;8;5;10;3;6;2;11;13;12;1;4;card_9_cute.jpg;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;26;;2025-02-21 19:23:11;;0;0;1;1;0;0;1,23
301;;;starting_point;interview;2025-02-21 19:24:35;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;13;;;;;;;;;;;;;;;;;;;;;45;;2025-02-21 19:25:20;;0;0;2;2;0;0;0,53
302;CASE000301;301;group1;interview;2025-02-21 19:25:20;14;2;4;;4;5;3;2;1;2;1;1;2;1;6;4;3;5;4;5;3;3;6;4;3;3;3;2;5;AI has alot of potential for ruining the game. Magic is already in a bad place with power creep that you cant really pull back from. Adding AI will only increase the risk of breaking the game further at the cost of taking jobs away from real artists and game devs.;2;1;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;2;1;1;1;2;2;1;2;1;1;1;;;4;11;3;2;15;9;14;6;13;5;8;7;1;12;10;card_4_cute.png;card_11_heroic.jpg;card_3_nothing.jpg;card_2_heroic.jpg;card_15_nothing.jpg;card_9_nothing.jpg;card_14_heroic.jpg;card_6_nothing.jpg;card_13_cute.jpg;card_5_heroic.jpg;card_8_heroic.jpg;card_7_cute.jpg;card_1_cute.png;card_12_nothing.jpg;card_10_cute.jpg;MC_card_1_heroic.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;50;61;42;36;27;42;23;33;30;23;41;30;23;22;22;31;17;10;12;6;71;15;599;;2025-02-21 19:36:27;;1;0;22;22;15;4;1,08
305;;;starting_point;interview;2025-02-21 20:50:14;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;3;;;;;;;;;;;;;;;;;;;;;82;;2025-02-21 20:51:36;;0;0;2;2;0;0;0,97
307;;;starting_point;interview;2025-02-21 20:50:47;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;7;;;;;;;;;;;;;;;;;;;;;20;;2025-02-21 20:51:07;;0;0;2;2;0;0;1,18
308;CASE000307;307;group3;interview;2025-02-21 20:51:07;28;2;1;;2;5;2;2;1;1;1;2;1;1;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;8;15;14;13;11;5;7;4;3;9;12;6;2;10;card_1_nothing.jpg;card_8_cute.jpg;card_15_heroic.jpg;card_14_cute.jpg;;;;;;;;;;;;;;;;77;59;26;25;;;;;;;;;;;;;;;;;;;147;;2025-02-21 20:54:14;;0;0;4;4;14;4;1,24
309;CASE000305;305;group2;interview;2025-02-21 20:51:36;21;1;4;;2;5;2;2;1;1;1;2;1;1;6;7;6;7;5;5;7;5;4;4;4;7;6;4;5;I think there is an interesting opportunity for AI generated images on MtG cards but the suggested abilities and cost ratios were pretty bad across the board.;2;1;1;1;2;1;2;2;2;1;1;1;2;1;2;1;2;1;1;1;2;2;2;1;2;1;1;1;;;8;14;12;3;7;13;11;2;9;15;1;4;5;6;10;card_8_nothing.jpg;card_14_nothing.jpg;card_12_cute.jpg;card_3_cute.png;card_7_heroic.jpg;card_13_heroic.jpg;card_11_nothing.jpg;card_2_nothing.jpg;card_9_cute.jpg;card_15_cute.jpg;card_1_heroic.png;card_4_heroic.jpg;card_5_nothing.jpg;card_6_cute.jpg;card_10_heroic.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;31;136;100;50;71;55;41;57;46;52;49;34;44;43;61;38;42;190;38;23;46;19;1012;;2025-02-21 21:12:43;;1;0;22;22;0;0;0,66
310;;;starting_point;interview;2025-02-21 21:07:12;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;;;;;;;;;;;;;;;;;;;;;12;;2025-02-21 21:07:24;;0;0;2;2;0;0;2,00
311;CASE000310;310;group1;interview;2025-02-21 21:07:24;17;2;5;;4;5;1;1;1;1;1;2;1;1;7;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;10;11;1;14;15;9;4;12;7;5;3;8;2;13;card_6_nothing.jpg;card_10_cute.jpg;card_11_heroic.jpg;card_1_cute.png;card_14_heroic.jpg;;;;;;;;;;;;;;;23;77;64;25;28;;;;;;;;;;;;;;;;;;217;;2025-02-21 21:11:01;;0;0;5;5;15;4;1,25
318;;;starting_point;interview;2025-02-22 12:54:22;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;738;3;;;;;;;;;;;;;;;;;;;;;25;;2025-02-22 13:06:43;;0;0;2;2;0;0;0,85
319;CASE000318;318;group3;interview;2025-02-22 13:06:43;13;2;5;;4;5;2;1;1;1;1;1;2;2;4;2;1;1;1;3;4;2;3;2;4;1;3;4;5;;2;2;1;1;1;2;1;2;2;1;2;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;2;;;4;7;11;15;12;9;8;10;3;2;5;1;14;13;6;card_4_nothing.jpg;card_7_nothing.jpg;card_11_cute.jpg;card_15_heroic.jpg;card_12_heroic.jpg;card_9_heroic.jpg;card_8_cute.jpg;card_10_nothing.jpg;card_3_heroic.png;card_2_cute.png;card_5_cute.jpg;card_1_nothing.jpg;card_14_cute.jpg;card_13_nothing.jpg;card_6_heroic.jpg;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;74;49;30;36;26;21;29;49;35;35;33;43;25;34;27;33;11;8;6;11;7;70;604;;2025-02-22 13:18:15;;1;0;22;22;19;5;1,11
322;;;starting_point;interview;2025-02-22 16:12:41;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;6;;;;;;;;;;;;;;;;;;;;;13;;2025-02-22 16:12:54;;0;0;2;2;0;0;1,92
323;CASE000322;322;group1;interview;2025-02-22 16:12:54;11;2;5;;4;5;1;1;1;1;2;1;1;1;5;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;9;7;12;5;11;2;10;3;4;15;14;8;6;1;card_13_cute.jpg;card_9_nothing.jpg;card_7_cute.jpg;card_12_nothing.jpg;;;;;;;;;;;;;;;;31;106;65;58;;;;;;;;;;;;;;;;;;;260;;2025-02-22 16:17:14;;0;0;4;4;14;4;0,84
324;;;starting_point;interview;2025-02-22 18:58:09;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;39;;;;;;;;;;;;;;;;;;;;;18;;2025-02-22 18:59:01;;0;0;2;2;0;0;0,89
325;CASE000324;324;group2;interview;2025-02-22 18:59:01;20;2;4;;4;4;2;1;1;1;2;1;2;1;2;4;4;4;4;4;3;4;4;4;4;5;4;4;5;;3;2;1;2;1;2;1;3;1;2;2;1;1;2;2;1;2;1;1;1;2;3;1;2;1;2;1;2;;;12;10;13;7;2;6;1;14;5;15;9;3;4;8;11;card_12_cute.jpg;card_10_heroic.jpg;card_13_heroic.jpg;card_7_heroic.jpg;card_2_nothing.jpg;card_6_cute.jpg;card_1_heroic.png;card_14_nothing.jpg;card_5_nothing.jpg;card_15_cute.jpg;card_9_cute.jpg;card_3_cute.png;card_4_heroic.jpg;card_8_nothing.jpg;card_11_nothing.jpg;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;26;45;35;35;28;54;33;20;23;21;39;15;20;20;22;20;14;12;11;8;2;19;522;;2025-02-22 19:07:43;;1;0;22;22;19;5;1,40
326;;;starting_point;interview;2025-02-22 20:07:39;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;4;;;;;;;;;;;;;;;;;;;;;36;;2025-02-22 20:08:15;;0;0;2;2;0;0;0,96
327;CASE000326;326;group1;interview;2025-02-22 20:08:15;7;1;3;;1;4;2;2;1;1;1;1;2;1;4;5;4;3;3;5;2;4;4;2;5;4;4;5;2;I absolutely hate the cards with the overly big eyes. It does not look like magic cards;2;1;2;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;4;2;1;2;2;2;1;;;10;8;14;6;9;5;13;4;2;12;7;3;1;11;15;card_10_cute.jpg;card_8_heroic.jpg;card_14_heroic.jpg;card_6_nothing.jpg;card_9_nothing.jpg;card_5_heroic.jpg;card_13_cute.jpg;card_4_cute.png;card_2_heroic.jpg;card_12_nothing.jpg;card_7_cute.jpg;card_3_nothing.jpg;card_1_cute.png;card_11_heroic.jpg;card_15_nothing.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;32;50;37;41;45;20;64;27;71;21;39;185;53;23;22;23;10;10;8;5;46;5;639;;2025-02-22 20:22:14;;1;0;22;22;17;4;1,15
330;;;starting_point;interview;2025-02-23 01:06:12;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;6;;;;;;;;;;;;;;;;;;;;;46;;2025-02-23 01:06:58;;0;0;2;2;0;0;0,69
331;CASE000330;330;group3;interview;2025-02-23 01:06:58;15;2;4;;4;5;2;1;1;1;1;1;2;2;6;6;4;2;3;3;1;5;4;4;7;4;1;2;4;Automating art is a stupid concept. Leave creativity to the creatures that can feel.;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;2;1;;;4;14;15;8;9;2;12;13;7;10;3;5;1;6;11;card_4_nothing.jpg;card_14_cute.jpg;card_15_heroic.jpg;card_8_cute.jpg;card_9_heroic.jpg;card_2_cute.png;card_12_heroic.jpg;card_13_nothing.jpg;card_7_nothing.jpg;card_10_nothing.jpg;card_3_heroic.png;card_5_cute.jpg;card_1_nothing.jpg;card_6_heroic.jpg;card_11_cute.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;24;141;31;30;25;25;52;26;28;21;18;28;87;23;30;62;34;20;7;12;71;10;741;;2025-02-23 01:20:23;;1;0;22;22;15;4;1,07
332;;;starting_point;interview;2025-02-23 03:55:05;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;;;;;;;;;;;;;;;;;;;;;11;;2025-02-23 03:55:16;;0;0;2;2;0;0;1,86
333;CASE000332;332;group2;interview;2025-02-23 03:55:16;13;2;4;;4;5;4;1;2;1;1;2;2;2;4;4;6;7;7;2;7;1;2;5;5;2;5;5;3;AI art is bad. Magic sold me on its art when I first started playing and the AI art is so souless;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;;;12;15;8;1;4;14;13;2;5;11;7;10;9;3;6;card_12_cute.jpg;card_15_cute.jpg;card_8_nothing.jpg;card_1_heroic.png;card_4_heroic.jpg;card_14_nothing.jpg;card_13_heroic.jpg;card_2_nothing.jpg;card_5_nothing.jpg;card_11_nothing.jpg;card_7_heroic.jpg;card_10_heroic.jpg;card_9_cute.jpg;card_3_cute.png;card_6_cute.jpg;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_heroic.png;31;36;31;39;16;14;15;27;16;20;18;24;15;28;33;41;21;4;4;2;42;10;487;;2025-02-23 04:03:25;;1;0;22;22;6;1;1,78
334;;;starting_point;interview;2025-02-23 13:28:42;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;9;;;;;;;;;;;;;;;;;;;;;35;;2025-02-23 13:29:17;;1;0;2;2;0;0;0,69
336;;;starting_point;interview;2025-02-25 13:15:52;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;13;;;;;;;;;;;;;;;;;;;;;16;;2025-02-25 13:16:08;;0;0;2;2;0;0;1,69
